320870677764563, 335750934489987, 282502845957937 @ -40, -24, 10
219235623600942, 408022798608755, 245679379684914 @ 127, -45, 66
171834827764229, 225154401936948, 232302441670972 @ -122, -521, 95
399408000414510, 365475460204869, 325051385807860 @ -110, -35, -35
382531108862210, 229601570088564, 368913364777462 @ -119, 127, -107
149909452680584, 220522474055239, 215024246295982 @ 198, -73, 190
234205136344037, 217641496634781, 245767047966874 @ 50, 126, 57
154245972353770, 254717416188789, 165260557711000 @ 191, 37, 220
369540770291762, 356366422983125, 93794725449906 @ -15, 24, 216
226276010405492, 209995120939680, 310956910929616 @ -25, 99, -149
268638972773930, 269486309393569, 248987782583720 @ -21, 26, 50
361178860307414, 374454477296229, 399143377389604 @ -6, 7, -83
202257892924214, 270170054947827, 246834210935308 @ -51, -252, 15
277024186353899, 205267962954879, 342506025642424 @ -178, 112, -245
285916480116416, 388917502500415, 279882602663788 @ 60, -19, 31
145282209670550, 224173312800453, 249344095056520 @ 236, -215, -56
208447142984970, 231890691603339, 298351303820520 @ 61, 67, -75
161755191939510, 174118992755389, 243050626677760 @ 55, 212, -35
318313224606524, 381722223896712, 347955048413278 @ 27, -11, -39
305673336971274, 370290487695419, 422379794963756 @ 29, -13, -129
328180566576385, 213760869384648, 251670316230916 @ -34, 151, 55
230518001853761, 324986205789729, 203877601589479 @ 28, -118, 142
144072041563378, 90185316765691, 182011664702202 @ 217, 456, 233
185151810500310, 221100644135477, 245109663655204 @ 91, 60, 43
373850664858040, 293374889307828, 175368782897875 @ -89, 49, 154
328502469179556, 412212496772722, 260184335059001 @ 7, -55, 50
223132851962520, 223914729021163, 327185491912702 @ 76, 119, -80
198895082054102, 271680428770347, 234537752577403 @ 69, -56, 76
252972518344820, 389690617977839, 374418656922750 @ -153, -532, -403
192164383825878, 82139993028623, 120091254828574 @ 55, 519, 466
156955794165198, 191592767579977, 233413147425100 @ 64, -100, 79
165008537629302, 183661085826489, 248545405693408 @ -68, 52, -182
373129120338738, 368249004318254, 320596847750514 @ -71, -33, -27
275929675024853, 194671117708439, 343770846827540 @ -120, 152, -201
173580271204630, 203823601071863, 239810510444710 @ -139, -204, -11
189671912659874, 259317534315745, 248510443915264 @ 33, -150, 16
172552678412603, 76290981681303, 250440858733279 @ 148, 428, 40
127051067028085, 224685590300118, 27951449994759 @ 286, 13, 860
231732307446206, 111700054896778, 381283992852198 @ 93, 285, -115
196775286792290, 250152880582527, 165723767492786 @ -39, -179, 422
198162199765890, 326088593352961, 293740956136336 @ 121, -46, -20
181567111184732, 234940800451055, 284267674024586 @ 60, -61, -144
343894774969218, 251446196757409, 324645022076636 @ -155, 62, -88
154322997480050, 321666831724779, 170189917536370 @ 193, -37, 182
269135111242526, 422914585575117, 44342942222152 @ 18, -177, 368
174234267626414, 206600028766149, 247203043132680 @ 48, 7, -6
301438105099034, 196682335636041, 242355832704292 @ -37, 168, 65
52382227177535, 137282743662489, 90222907787860 @ 304, 242, 231
287281969399048, 189476966098213, 378020645240557 @ -65, 174, -200
329003376176988, 435916939135103, 202654481427582 @ 20, -61, 110
183674690012150, 191781746274329, 227891029018460 @ -72, 68, 123
366646274315090, 480902014044223, 227077161038699 @ -39, -136, 86
209229044274730, 190608724313417, 187400386715900 @ 136, 185, 129
261618567625850, 400563976485889, 144954360500820 @ 12, -178, 228
264216158312450, 334972046672343, 305882984918398 @ 41, -21, -22
