26,35
61,49
14,27
66,63
11,16
55,19
44,15
61,69
19,34
24,37
5,10
1,19
50,11
64,61
58,21
64,41
1,14
59,68
29,43
19,35
19,11
49,67
51,13
65,47
11,38
11,46
3,4
17,14
69,37
69,66
31,37
64,39
57,65
13,25
53,58
59,52
4,25
59,32
65,28
5,47
67,46
58,15
61,25
4,13
33,43
56,59
63,19
11,31
17,41
12,33
57,41
5,26
63,26
62,43
13,4
1,31
69,55
5,44
5,51
23,47
53,15
15,15
13,2
13,9
66,33
61,57
5,23
49,69
29,13
51,57
51,37
21,32
59,20
9,45
4,33
59,35
63,25
15,27
63,33
51,30
60,61
55,31
59,59
67,57
27,21
69,63
63,55
23,49
4,7
65,23
7,21
55,50
59,48
10,21
49,19
57,67
49,32
5,29
61,59
5,45
1,43
55,55
59,70
9,7
61,53
10,9
7,13
7,48
7,34
60,17
61,63
5,40
49,65
2,15
53,29
65,19
57,52
62,55
15,18
13,51
16,19
55,49
3,31
69,35
55,28
66,49
3,29
1,9
3,42
14,13
57,16
58,43
3,15
5,14
60,59
5,33
21,47
3,51
9,21
66,57
57,20
59,19
40,3
1,46
3,5
55,35
4,19
9,49
59,60
12,49
12,25
51,35
3,12
7,39
23,11
51,16
55,67
17,8
67,50
8,11
55,32
63,66
1,3
13,11
11,10
55,33
63,34
63,62
46,49
61,15
57,48
27,13
8,27
51,42
60,53
57,31
58,61
7,37
53,43
69,59
20,27
4,23
27,46
29,12
62,33
24,11
13,29
67,47
48,21
11,11
15,6
14,11
5,7
10,53
55,68
67,61
5,9
57,32
2,41
58,45
24,43
2,39
23,7
63,30
15,43
1,37
67,36
3,37
15,3
4,21
19,7
51,33
49,48
7,41
15,25
8,17
57,17
2,9
51,55
19,37
63,47
12,13
5,8
11,29
57,37
7,2
54,55
4,17
55,45
25,9
64,57
69,65
67,48
58,65
16,43
52,69
6,23
8,3
63,56
59,14
5,27
47,66
9,1
11,51
11,4
17,43
3,30
51,67
64,51
61,48
11,27
61,35
8,5
2,5
3,47
61,31
5,35
70,35
13,18
53,69
23,13
4,27
63,61
5,39
19,9
31,39
15,31
22,45
17,49
14,21
65,55
9,51
49,23
57,18
19,28
70,65
3,19
9,22
10,19
62,47
69,68
7,25
59,17
11,47
14,23
13,15
1,11
5,0
51,29
49,13
1,47
8,49
20,45
17,50
57,40
63,45
31,43
13,35
63,23
7,5
63,31
3,43
56,43
11,5
56,41
21,11
64,47
53,31
1,34
1,6
62,15
19,36
7,51
11,19
13,33
23,41
27,39
15,38
7,8
19,38
17,11
63,63
9,46
47,29
11,41
24,45
1,29
11,23
1,4
68,55
25,42
10,23
51,20
67,59
53,64
7,20
59,34
13,43
6,21
53,67
17,28
62,51
65,53
64,45
45,67
59,38
7,33
65,63
0,51
64,27
7,3
60,27
60,57
50,69
7,44
52,33
9,29
19,29
52,25
53,19
2,11
1,21
7,7
14,35
11,6
59,45
7,9
15,16
19,24
21,31
21,8
57,47
13,19
7,31
29,23
47,27
67,40
57,38
55,22
70,33
3,49
5,36
65,64
14,51
12,45
53,22
59,27
47,55
21,46
18,49
11,50
21,15
9,3
30,41
57,69
64,23
69,69
4,3
9,18
51,22
65,35
62,65
65,51
23,39
6,47
0,21
23,29
62,19
1,48
67,51
69,53
9,52
5,30
2,17
21,36
17,25
3,53
50,15
65,43
9,17
4,45
53,33
1,44
63,68
62,63
61,24
15,7
61,42
6,11
19,43
9,14
18,39
67,37
61,67
11,48
24,41
55,41
65,59
63,37
35,45
21,40
8,19
27,40
9,26
5,52
67,39
51,34
5,19
6,33
59,51
2,23
63,14
62,39
61,41
19,13
67,56
53,41
17,44
11,53
14,41
63,57
15,32
59,33
1,27
61,39
61,19
17,17
67,58
15,21
66,61
69,50
69,61
9,53
70,47
2,53
3,35
53,65
4,35
53,52
56,65
1,23
45,28
3,1
15,37
0,39
62,59
55,17
53,37
53,21
11,33
24,33
25,13
59,50
13,8
9,23
51,41
66,41
25,47
9,15
3,11
25,45
15,39
63,43
15,9
5,21
20,43
18,41
42,19
24,49
15,19
9,5
59,15
69,60
11,26
16,13
60,67
63,22
9,24
64,33
55,26
11,2
17,16
19,47
67,41
59,30
22,19
29,48
61,27
4,49
52,37
61,36
57,29
1,53
15,24
61,22
45,58
65,67
57,21
56,25
57,19
63,67
63,27
55,23
63,44
3,36
59,21
1,49
5,13
56,21
27,45
15,30
13,28
6,5
57,68
24,47
29,17
65,39
5,5
15,17
1,8
30,37
64,37
61,18
56,61
1,28
1,1
27,41
61,33
53,42
63,29
6,39
57,43
13,49
63,49
11,7
65,57
69,67
32,9
1,13
13,39
66,37
24,53
13,34
55,13
48,33
53,57
57,49
3,13
59,63
21,44
5,28
66,43
54,63
51,39
7,19
6,19
3,2
61,40
47,15
57,51
19,16
50,67
53,59
53,35
13,42
54,37
51,61
25,34
2,31
3,16
49,17
8,53
61,61
7,17
1,7
69,54
55,65
1,41
69,51
21,12
66,35
1,33
1,5
56,39
42,69
53,66
18,47
48,67
15,33
3,45
54,11
67,69
6,3
5,25
3,27
8,29
21,9
59,24
21,33
60,13
65,65
19,20
5,41
54,39
26,47
68,65
57,23
0,13
51,19
1,45
52,19
65,37
10,35
61,34
13,7
19,31
7,27
13,13
5,37
53,25
51,31
3,38
25,39
61,68
57,63
61,51
13,17
67,35
13,30
4,41
12,11
7,14
59,43
8,1
68,41
1,51
1,26
6,51
20,33
7,36
51,45
9,34
65,49
11,28
13,40
67,33
33,53
55,43
11,17
65,70
55,62
68,43
22,9
5,15
64,19
65,45
5,43
63,69
63,52
53,40
21,39
63,58
9,31
59,13
68,51
69,41
1,39
53,30
2,45
59,29
7,1
11,3
7,45
5,6
1,42
13,20
7,16
67,65
59,36
51,23
1,35
2,19
58,35
69,46
15,22
69,44
32,11
54,67
54,25
19,45
24,17
3,21
1,36
59,47
2,27
23,40
61,29
56,33
57,39
57,35
57,66
67,64
7,38
16,29
56,35
18,13
23,38
23,36
11,1
65,42
26,39
34,33
61,37
49,70
16,9
54,35
23,14
50,63
67,63
21,49
11,25
57,36
60,41
63,35
19,10
9,30
3,33
59,22
16,11
60,65
14,9
7,42
59,67
59,57
13,52
50,39
55,15
61,65
55,16
65,69
69,39
6,27
59,64
23,37
21,37
33,39
19,41
3,39
59,37
51,18
7,29
54,43
48,29
15,41
21,38
54,19
61,50
26,49
19,15
60,11
9,6
53,23
4,53
25,17
7,12
55,69
17,20
69,33
11,14
65,68
26,13
5,1
23,33
1,52
5,17
7,32
63,32
59,41
55,14
57,30
11,12
57,44
69,49
61,45
55,27
32,47
9,50
54,31
59,23
67,68
7,46
56,13
59,31
19,39
13,44
13,32
13,31
65,24
69,57
11,21
69,62
3,41
57,45
11,32
10,29
53,27
66,53
61,28
15,13
7,24
50,27
15,49
13,27
51,14
11,0
59,54
27,44
59,65
15,11
67,52
61,17
58,27
0,1
65,33
16,41
63,39
55,25
59,69
63,48
20,13
54,23
59,53
13,41
56,17
61,13
68,37
61,23
21,48
61,43
13,37
5,3
64,59
60,45
57,12
10,15
61,47
61,46
21,45
15,26
53,39
19,25
13,21
2,21
51,69
17,45
65,27
7,43
57,57
9,42
9,25
22,25
69,38
17,13
5,54
9,32
67,45
9,27
12,23
70,57
59,25
53,68
15,48
52,27
62,25
55,21
7,30
2,49
66,67
16,47
69,43
12,17
47,14
17,37
15,50
59,39
67,55
63,41
20,19
49,30
14,43
57,33
63,51
66,45
61,55
17,39
8,37
57,27
13,23
4,11
24,7
18,45
3,25
7,35
57,62
3,7
67,43
68,59
69,47
5,31
10,3
1,54
67,67
67,53
9,11
21,22
3,9
15,36
51,32
23,10
21,34
9,9
55,29
11,9
52,15
47,69
9,33
12,37
54,59
61,21
68,33
63,54
55,37
8,9
65,54
21,35
12,41
57,24
55,39
17,34
13,53
17,19
10,39
20,11
45,48
45,26
53,28
64,65
51,40
3,50
18,9
65,38
67,49
1,32
9,13
59,26
61,30
69,45
61,38
63,53
21,41
11,36
4,47
49,21
51,38
11,35
3,32
57,58
65,61
59,28
23,30
63,59
21,42
59,11
55,48
49,63
16,39
55,56
39,15
8,43
3,23
12,7
68,61
7,15
10,43
45,1
32,35
33,30
4,57
48,13
38,57
45,3
14,47
47,43
7,65
33,23
19,59
24,63
55,57
39,56
18,31
29,66
12,53
34,13
69,5
35,39
19,33
29,37
61,16
51,3
5,61
7,69
9,55
25,31
50,5
40,15
23,20
64,1
45,41
57,11
23,21
26,59
62,11
37,19
49,4
30,63
36,61
41,38
